time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-05 00:00:00+00:00,133,87,117,35
2025-11-06 00:00:00+00:00,152,90,229,55
2025-11-07 00:00:00+00:00,80,65,316,64
2025-11-08 00:00:00+00:00,32,31,18,10
2025-11-09 00:00:00+00:00,29,28,14,10
2025-11-10 00:00:00+00:00,84,48,205,38
2025-11-11 00:00:00+00:00,82,61,280,48
2025-11-12 00:00:00+00:00,96,76,205,55
2025-11-13 00:00:00+00:00,78,56,221,55
2025-11-14 00:00:00+00:00,49,41,128,44
2025-11-15 00:00:00+00:00,31,30,7,5
2025-11-16 00:00:00+00:00,29,27,20,12
2025-11-17 00:00:00+00:00,72,60,138,40
2025-11-18 00:00:00+00:00,97,87,64,33
