time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-31 00:00:00+00:00,30,24,87,30
2026-01-01 00:00:00+00:00,58,22,12,9
2026-01-02 00:00:00+00:00,29,22,7,7
2026-01-03 00:00:00+00:00,26,24,21,7
2026-01-04 00:00:00+00:00,60,53,98,27
2026-01-05 00:00:00+00:00,54,39,86,32
2026-01-06 00:00:00+00:00,52,39,176,38
2026-01-07 00:00:00+00:00,76,55,345,50
2026-01-08 00:00:00+00:00,56,50,281,50
2026-01-09 00:00:00+00:00,76,66,178,34
2026-01-10 00:00:00+00:00,26,25,8,6
2026-01-11 00:00:00+00:00,22,21,31,6
2026-01-12 00:00:00+00:00,74,49,148,26
2026-01-13 00:00:00+00:00,46,38,65,37
