time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-06 00:00:00+00:00,41,39,34,13
2025-12-07 00:00:00+00:00,26,24,25,16
2025-12-08 00:00:00+00:00,157,130,203,51
2025-12-09 00:00:00+00:00,116,82,148,39
2025-12-10 00:00:00+00:00,60,50,160,38
2025-12-11 00:00:00+00:00,54,45,226,55
2025-12-12 00:00:00+00:00,40,36,135,44
2025-12-13 00:00:00+00:00,31,29,25,12
2025-12-14 00:00:00+00:00,26,24,19,13
2025-12-15 00:00:00+00:00,54,48,173,41
2025-12-16 00:00:00+00:00,52,48,146,33
2025-12-17 00:00:00+00:00,47,44,159,34
2025-12-18 00:00:00+00:00,58,48,125,31
2025-12-19 00:00:00+00:00,51,47,119,40
