time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-03 00:00:00+00:00,231,75,49,17
2026-06-04 00:00:00+00:00,276,94,67,31
2026-06-05 00:00:00+00:00,62,50,85,29
2026-06-06 00:00:00+00:00,70,66,29,11
2026-06-07 00:00:00+00:00,35,32,24,9
2026-06-08 00:00:00+00:00,134,98,94,25
2026-06-09 00:00:00+00:00,108,89,143,28
2026-06-10 00:00:00+00:00,138,103,60,17
2026-06-11 00:00:00+00:00,149,81,70,30
2026-06-12 00:00:00+00:00,111,84,130,28
2026-06-13 00:00:00+00:00,34,32,28,6
2026-06-14 00:00:00+00:00,47,44,13,6
2026-06-15 00:00:00+00:00,156,74,132,22
2026-06-16 00:00:00+00:00,223,91,127,28
