time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-09 00:00:00+00:00,357,255,98,30
2026-08-10 00:00:00+00:00,512,322,123,40
2026-08-11 00:00:00+00:00,458,250,246,36
2026-08-12 00:00:00+00:00,330,198,200,59
2026-08-13 00:00:00+00:00,257,238,140,33
2026-08-14 00:00:00+00:00,259,140,196,34
2026-08-15 00:00:00+00:00,126,90,25,13
2026-08-16 00:00:00+00:00,100,82,62,12
2026-08-17 00:00:00+00:00,255,147,151,43
2026-08-18 00:00:00+00:00,265,216,200,41
2026-08-19 00:00:00+00:00,250,205,185,47
2026-08-20 00:00:00+00:00,474,349,161,43
2026-08-21 00:00:00+00:00,364,200,329,45
2026-08-22 00:00:00+00:00,140,123,38,16
