time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-13 00:00:00+00:00,79,64,94,31
2026-04-14 00:00:00+00:00,77,51,113,30
2026-04-15 00:00:00+00:00,57,47,95,37
2026-04-16 00:00:00+00:00,173,81,315,30
2026-04-17 00:00:00+00:00,204,116,219,33
2026-04-18 00:00:00+00:00,43,33,24,9
2026-04-19 00:00:00+00:00,35,31,41,10
2026-04-20 00:00:00+00:00,133,55,171,30
2026-04-21 00:00:00+00:00,93,45,126,33
2026-04-22 00:00:00+00:00,301,199,188,37
2026-04-23 00:00:00+00:00,147,72,217,34
2026-04-24 00:00:00+00:00,124,72,163,41
2026-04-25 00:00:00+00:00,56,49,24,10
2026-04-26 00:00:00+00:00,115,46,54,10
